"Status"	"sample02"	"sample03"	"sample04"	"sample05"	"sample06"	"sample07"	"sample08"	"sample09"	"sample10"	"sample11"	"sample12"	"sample13"	"sample14"	"sample15"	"sample16"	"sample17"	"sample18"	"sample19"	"sample20"	"sample21"	"sample22"	"sample23"	"sample24"	"sample25"	"sample26"	"sample27"	"sample28"	"sample29"	"sample30"	"sample31"	"sample32"	"sample33"	"sample34"	"sample35"	"sample36"	"sample37"
"Assigned"	21817025	13897010	32378752	25137290	28232582	21168316	22260583	34900195	11882925	49054885	6720912	17862874	30748943	25001764	17394797	28055150	20439975	23222381	19942558	36392758	13599606	13071349	11421383	17242753	40269863	56148025	17073731	39930861	41326424	26792819	19461002	32148388	30152974	14244072	20138771	21483336
"Unassigned_Unmapped"	4135078	3912028	4868521	2633713	4718697	3718937	4282048	3682399	10531850	4163575	9297204	14792346	5746109	3633884	4974394	3727506	3341141	4287984	4131372	3412095	11198024	15250827	6179251	14113377	3300483	3709247	2162074	3748458	3101083	4027792	3288956	3192810	6331716	3628081	7777905	9428054
"Unassigned_Read_Type"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unassigned_Singleton"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unassigned_MappingQuality"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unassigned_Chimera"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unassigned_FragmentLength"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unassigned_Duplicate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unassigned_MultiMapping"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unassigned_Secondary"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unassigned_NonSplit"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unassigned_NoFeatures"	28440352	32060876	28444695	17927388	29417337	31951252	30151620	22977913	21009072	21199864	13421260	20077018	35884930	27936598	30164211	27066013	24970944	33574883	31976414	22673649	13977791	20358158	28718896	24685455	26581021	29137938	20683482	28986897	26335707	34500397	35952715	22586439	31236281	33440732	36288887	27778073
"Unassigned_Overlapping_Length"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unassigned_Ambiguity"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
